Volcano_Number,Volcano_Name,Volcanic_Landform,Primary_Volcano_Type,Country,Region,Subregion,Geological_Summary,Latitude,Longitude,Elevation,Geologic_Epoch
210801,South Harghita Mountains,Minor,Lava dome(s),Romania,European Volcanic Regions,Central European Volcanic Province,"The Ciomadul lava-dome complex is the youngest volcanic center of the Carpathian-Pannonian region. Located at the SE end of the Calimani-Harghita Range, it consists of a dacitic dome complex formed about 500-700 ka. The dome complex is cut by twin craters, Mohos and St. Anna. The latest eruption, from St. Anna, produced subplinian airfall and pyroclastic-surge deposits that have been variously dated between about 10.7 and 42 ka. Pecskay et al. (2006) noted ages of 1.0-0.03 Ma. A number of samples from other South Harghita locations (Porcuhu, Cucu, Kapus, Pilisca, Balvanyos, Haramul Mare, and Koves Peak) had Quaternary dates.",46.13,25.88,1289.0,Pleistocene
210802,Persani Mountains,Cluster,Volcanic field,Romania,European Volcanic Regions,Central European Volcanic Province,"The Persani Mountains, an area that includes Pliocene-to-Pleistocene alkali basalts, are located south of the Calimani-Harghita Mountains in east-central Romania (Poka 1988).  Bleheau et al. (1973) and Boccaletti et al. (1973) had also noted Pleistocene basalts in the area. Panaiotu et al. (2004) identified a number of volcanic features across a 22 x 8 km zone, finding that there were pulses of activity during 1.5-1.2 and 0.67-0.52 Ma.",45.982,25.339,623.0,Pleistocene
210803,Apuseni Mountains,Cluster,Volcanic field,Romania,European Volcanic Regions,Central European Volcanic Province,"There are a number of locations south of the Apuseni Mountains in west-central Romania with deposits dated in the Quaternary. The Beritia lava dome (IAVCEI 1973) is located in an area of numerous alkali basalt vents of Pliocene-to-Pleistocene age (Bleahu et al. 1973, Poka 1988). Uroiu Hill, 15 km SE of Beritia, was dated by Pecskay (1995) at 1.6 +/- 0.1 Ma.",45.93,22.88,353.0,Pleistocene
210804,Lucaret Basalts,Cluster,Fissure vent,Romania,European Volcanic Regions,Central European Volcanic Province,"The Lucaret basalt plateau, located near Timisoara in west-central Romania about 35 km ENE of Timisoara, is thought to be early Pleistocene (Savu et al. 1994, Poka 1988). Bleahu et al. (1973) also noted Pleistocene basalts SE of Timisoara.",45.826,21.69,190.0,Pleistocene
210805,Bakony-Balaton Highland,Cluster,Volcanic field,Hungary,European Volcanic Regions,Central European Volcanic Province,"The Bakony-Balaton Highland Volcanic Field is a large area of monogenetic Pliocene-to-Pleistocene basaltic shield volcanoes and cinder cones located around Lake Balaton in western Hungary (Bleahu et al., 1973; Poka, 1988). The age of volcanism, as summarized by Kereszturi and Nemeth (2011), extended from about 7.94 to 2.29 Ma.",46.92,17.63,600.0,Pleistocene
210806,Little Hungarian Plain,Cluster,Volcanic field,Hungary,European Volcanic Regions,Central European Volcanic Province,"The Little Hungarian Plain Volcanic Field (also called the Kemenesalja Hills) area in western Hungary contains a group of Pliocene-to-Pleistocene cones (Bleahu et al. 1973, Poka 1988). Martin et al. (2003) described it, and the Bakony-Balaton Highland field to the south, as an eroded phreatomagmatic field with remnants of nested maar complexes, multiple vent systems, and individual tuff rings.",47.192,17.2,433.0,Pleistocene
210807,Nograd-Southern Slovakia,Cluster,Volcanic field,Hungary-Slovakia,European Volcanic Regions,Central European Volcanic Province,"The basaltic Nográd-Southern Slovakia volcanic field in north-central Hungary and southern Slovakia contains cones of Pliocene-to-Pleistocene age (Boccaletti et al. 1973, Poka 1988). The area is part of a larger volcanic field that straddles the Hungary-Czechoslovakia border. It is variously referred to as Northern Hungary-Southern Slovakia, or the Filakovo-Salgotarjan volcanics. Dating by Balogh et al. (1981 in Pecskay et al., 2006) gave dates of 0.4-2.2 Ma.",48.159,19.79,720.0,Pleistocene
210809,Central Slovakia,Cluster,Volcanic field,Slovakia,European Volcanic Regions,Central European Volcanic Province,"The Central Slovakia volcanic field consists of small basaltic shield volcanoes and cinder cones of Pliocene-to-Pleistocene age (Bleahu et al. 1973, IAVCEI 1973, Poka 1988). The SW part of the field is dominated by the Stiavnica stratovolcano, which is comprised of a large 18 x 22 km caldera, an extensive intrusive complex, and a resurgent horst with late-stage rhyolite. Based on stratigraphy (late Riss glacial stage), the Putikov vrsok cone of Stiavnica erupted about 130-140 ka (Simon and Halouzka, 1996). K-Ar dates from that scoria cone by Cherbyshev et al. (2013) were 390-460 ka, with the distal end of related lava flows slightly later.",48.403,18.877,1009.0,Pleistocene
210810,Bruntal Volcanic Field,Cluster,Volcanic field,Czechia,European Volcanic Regions,Central European Volcanic Province,"The Bruntal Volcanic Field in Moravia, west of Ostrava, contains many cinder cones and lava flows of Pliocene-to-Pleistocene age (IAVCEI 1973). Cajz et al. (2012) K-Ar dated lava from the Venusina volcano at 0.83 +/- 0.12 Ma.",49.88,17.475,780.0,Pleistocene
210811,Cheb Basin,Cluster,Volcanic field,Czechia,European Volcanic Regions,Central European Volcanic Province,"An area of NW Bohemia near the border with Germany, known as the Czech Auvergne, contains small basaltic volcanoes of Miocene-to-Pleistocene age and world-renowned hot springs (Ager, 1980). Two cinder cones and a maar are found in the Cheb Basin area of the western Eger RIft; the Cheb Basin is an area of carbon dioxide dominated surface degassing in mofettes and mineral springs and active seismicity.",49.97,12.392,585.0,Pleistocene
210812,East Eifel Volcanic Field,Cluster,Maar(s),Germany,European Volcanic Regions,Central European Volcanic Province,"Activity at the East Eifel volcanic field began about 0.65-0.45 Ma with the formation of scoria cones, lava flows, and tephra deposits. The Reiden complex at the western end produced a series of scoria cones, lava flows, and lava domes from 0.45 to 0.35 Ma.  Activity resumed around 0.215 Ma, continuing until 0.115 Ma, with the formation of scoria cones, maars and lava flows. The latest eruption, at the Laacher See maar, took place about 12,900 years ago (40Ar/39Ar) and produced about 20 km3 of tephra (Schmincke et al., 2002).    ",50.4,7.325,588.0,Pleistocene
