Volcano_Number,Volcano_Name,Country,Primary_Volcano_Type,Type_group,Tectonic_Setting,Last_Eruption_Year,years_since,dated
264180,Lewotobi,Indonesia,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2026.0,0.0,True
282030,Suwanosejima,Japan,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2026.0,0.0,True
260010,Barren Island,India,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
273070,Taal,Philippines,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
261140,Marapi,Indonesia,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
300190,Krasheninnikov,Russia,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
273030,Mayon,Philippines,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
354006,Sabancaya,Peru,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
272020,Kanlaon,Philippines,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
300270,Sheveluch,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
311120,Great Sitkin,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2026.0,0.0,True
223030,Nyiragongo,DR Congo,Stratovolcano,Stratovolcano / complex,Rift zone / Continental crust (> 25 km),2026.0,0.0,True
223020,Nyamulagira,DR Congo,Shield,Shield,Rift zone / Continental crust (> 25 km),2026.0,0.0,True
268030,Ibu,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2026.0,0.0,True
268010,Dukono,Indonesia,Complex,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2026.0,0.0,True
390020,Erebus,Antarctica,Stratovolcano,Stratovolcano / complex,Intraplate / Continental crust (> 25 km),2026.0,0.0,True
263250,Merapi,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
263300,Semeru,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
264230,Lewotolok,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2026.0,0.0,True
342090,Fuego,Guatemala,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
243060,Tofua,Tonga,Caldera,Caldera,Subduction zone / Oceanic crust (< 15 km),2026.0,0.0,True
341090,Popocatepetl,Mexico,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
222120,"Lengai, Ol Doinyo",Tanzania,Stratovolcano,Stratovolcano / complex,Rift zone / Continental crust (> 25 km),2026.0,0.0,True
344100,Masaya,Nicaragua,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
390090,Saunders,United Kingdom,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2026.0,0.0,True
233020,"Fournaise, Piton de la",France,Shield,Shield,Intraplate / Oceanic crust (< 15 km),2026.0,0.0,True
352010,Reventador,Ecuador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
243080,Home Reef,Tonga,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2026.0,0.0,True
355100,Lascar,Chile,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
251020,Manam,Papua New Guinea,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
351060,Purace,Colombia,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
284141,Ahyi,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2026.0,0.0,True
211040,Stromboli,Italy,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
351020,"Ruiz, Nevado del",Colombia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
211060,Etna,Italy,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
352090,Sangay,Ecuador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
252010,Langila,Papua New Guinea,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
257100,Yasur,Vanuatu,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2026.0,0.0,True
285070,Akan,Japan,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
241040,Whakaari/White Island,New Zealand,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
332010,Kilauea,United States,Shield,Shield,Intraplate / Oceanic crust (< 15 km),2026.0,0.0,True
345040,Poas,Costa Rica,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
282080,Aira,Japan,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
255020,Bagana,Papua New Guinea,Lava cone,Monogenetic / field,Subduction zone / Crustal thickness unknown,2026.0,0.0,True
234010,Heard,Australia,Stratovolcano,Stratovolcano / complex,Intraplate / Oceanic crust (< 15 km),2026.0,0.0,True
257030,Ambae,Vanuatu,Shield,Shield,Subduction zone / Intermediate crust (15-25 km),2026.0,0.0,True
342030,Santa Maria,Guatemala,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2026.0,0.0,True
311160,Atka Volcanic Complex,United States,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2025.0,1.0,True
252120,Ulawun,Papua New Guinea,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
261230,Dempo,Indonesia,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
357120,Villarrica,Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
334050,Northern EPR at 9.8°N,Undersea Features,Fissure vent(s),Monogenetic / field,Rift zone / Oceanic crust (< 15 km),2025.0,1.0,True
357040,Planchon-Peteroa,Chile,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
263200,Dieng Volcanic Complex,Indonesia,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
284120,Ioto,Japan,Caldera,Caldera,Subduction zone / Crustal thickness unknown,2025.0,1.0,True
371020,Reykjanes,Iceland,Crater rows,Monogenetic / field,Rift zone / Oceanic crust (< 15 km),2025.0,1.0,True
263340,Raung,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
300130,Karymsky,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
221080,Erta Ale,Ethiopia,Shield,Shield,Rift zone / Intermediate crust (15-25 km),2025.0,1.0,True
221091,Hayli Gubbi,Ethiopia,Shield,Shield,Rift zone / Intermediate crust (15-25 km),2025.0,1.0,True
273010,Bulusan,Philippines,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
300250,Bezymianny,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
300260,Klyuchevskoy,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
344040,Telica,Nicaragua,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
282060,Kikai,Japan,Caldera,Caldera,Subduction zone / Oceanic crust (< 15 km),2025.0,1.0,True
282090,Kirishimayama,Japan,Shield,Shield,Subduction zone / Continental crust (> 25 km),2025.0,1.0,True
344120,Concepcion,Nicaragua,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
290380,Ebeko,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
354020,Ubinas,Peru,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
256010,Tinakula,Solomon Islands,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2024.0,2.0,True
344020,San Cristobal,Nicaragua,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
353010,Fernandina,Ecuador,Shield,Shield,Rift zone / Oceanic crust (< 15 km),2024.0,2.0,True
357090,Copahue,Chile-Argentina,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
261270,Suoh,Indonesia,Caldera(s),Caldera,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
257040,Ambrym,Vanuatu,Shield(pyroclastic),Shield,Subduction zone / Intermediate crust (15-25 km),2024.0,2.0,True
267010,Ruang,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2024.0,2.0,True
345020,Rincon de la Vieja,Costa Rica,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
261170,Kerinci,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
262000,Krakatau,Indonesia,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),2024.0,2.0,True
290360,Chikurachki,Russia,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2023.0,3.0,True
284202,Ruby,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2023.0,3.0,True
284100,Kaitoku Seamount,Japan,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2023.0,3.0,True
251002,Kadovar,Papua New Guinea,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2023.0,3.0,True
352050,Cotopaxi,Ecuador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2023.0,3.0,True
311360,Shishaldin,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2023.0,3.0,True
284096,Nishinoshima,Japan,Caldera,Caldera,Subduction zone / Crustal thickness unknown,2023.0,3.0,True
343100,San Miguel,El Salvador,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2023.0,3.0,True
267020,Karangetang,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),2023.0,3.0,True
311060,Semisopochnoi,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2023.0,3.0,True
263310,Tengger Caldera,Indonesia,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2023.0,3.0,True
371032,Fagradalsfjall,Iceland,Fissure vent,Monogenetic / field,Rift zone / Oceanic crust (< 15 km),2023.0,3.0,True
311110,Kanaga,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2023.0,3.0,True
257060,East Epi,Vanuatu,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2023.0,3.0,True
357070,"Chillan, Nevados de",Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2022.0,4.0,True
264020,Agung,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2022.0,4.0,True
312030,Pavlof,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2022.0,4.0,True
257020,Gaua,Vanuatu,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2022.0,4.0,True
290390,Alaid,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2022.0,4.0,True
264050,Sangeang Api,Indonesia,Complex,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),2022.0,4.0,True
290260,Chirinkotan,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Intermediate crust (15-25 km),2022.0,4.0,True
243040,Hunga Tonga-Hunga Ha'apai,Tonga,Caldera,Caldera,Subduction zone / Oceanic crust (< 15 km),2022.0,4.0,True
284110,Kita-Ioto,Japan,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,2022.0,4.0,True
